색인어,KSIC코드,KSIC명,레벨,신뢰도,출처
"금속제 연선, 엮은 밴드, 사슬 제조",25944,금속선 가공제품 제조업,세세분류,MED,haeseolseo
금속제 옷걸이 제조,25932,일반 철물 제조업,세세분류,MED,haeseolseo
"금속제 유금, 꺾쇠, 유금이 붙은 프레임 제조",25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
금속제 자석 제조,25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
금속제 조립식 건물 및 그 구성품 제조,25119,기타 구조용 금속제품 제조업,세세분류,MED,haeseolseo
금속제 주방 용기 제조,25992,수동식 식품 가공 기기 및 금속 주방용기 제조업,세세분류,MED,haeseolseo
금속제 창문 제조,25111,"금속 문, 창, 셔터 및 관련제품 제조업",세세분류,MED,haeseolseo
금속제 침 및 바늘 제조,25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
금속제 침대 제조,32091,금속 가구 제조업,세세분류,MED,haeseolseo
금속제 트로피 제조,25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
금속제품 영구 조립용 리벳 제조,25942,그 외 금속 파스너 및 나사제품 제조업,세세분류,MED,haeseolseo
금속처리 가죽 제조,15110,모피 및 가죽 제조업,세세분류,MED,haeseolseo
금연용 담배 제조,12000,담배제품 제조업,세세분류,MED,haeseolseo
금전 등록기 제조,29180,사무용 기계 및 장비 제조업,세세분류,MED,haeseolseo
급유용 펌프 제조,29131,액체 펌프 제조업,세세분류,MED,haeseolseo
기계 목재펄프 제조,17101,펄프 제조업,세세분류,MED,haeseolseo
기계 밀봉 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
기계식 급탄기 제조,29150,"산업용 오븐, 노 및 노용 버너 제조업",세세분류,MED,haeseolseo
기계식 삽 제조,29241,건설 및 채광용 기계장비 제조업,세세분류,MED,haeseolseo
기계염 제조,20492,가공 및 정제염 제조업,세세분류,MED,haeseolseo
기계용 가죽제품 제조,15190,기타 가죽제품 제조업,세세분류,MED,haeseolseo
기계용 비경화 고무제품 제조,22192,산업용 그 외 비경화 고무제품 제조업,세세분류,MED,haeseolseo
기계장비 모형 제조,33932,전시용 모형 제조업,세세분류,MED,haeseolseo
기계적 요법 기구 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
기관차 원동기 모형 제조,33932,전시용 모형 제조업,세세분류,MED,haeseolseo
기구용 목재 케이스 제조,16299,그 외 기타 나무제품 제조업,세세분류,MED,haeseolseo
기념관용 모형 제조,33932,전시용 모형 제조업,세세분류,MED,haeseolseo
기술자용 수지식 정밀 측정기 제조,27219,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업",세세분류,MED,haeseolseo
기압계 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
기어 박스 제조,29142,기어 및 동력전달장치 제조업,세세분류,MED,haeseolseo
기어와 기어링 제조,29142,기어 및 동력전달장치 제조업,세세분류,MED,haeseolseo
기억소자 제조,2611,전자집적회로 제조업,세분류,MED,haeseolseo
기중기차 제조,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업,세세분류,MED,haeseolseo
기중기차 특장 제조,30201,차체 및 특장차 제조업,세세분류,MED,haeseolseo
기체 압축기 제조,29132,기체 펌프 및 압축기 제조업,세세분류,MED,haeseolseo
기체 액화용 기 제조,29177,"증류기, 열 교환기 및 가스 발생기 제조업",세세분류,MED,haeseolseo
기화기 제조,30310,자동차 엔진용 신품 부품 제조업,세세분류,MED,haeseolseo
김칫소 제조,10832,천연 및 혼합 조제 조미료 제조업,세세분류,MED,haeseolseo
김프사 제조,13993,특수사 및 코드직물 제조업,세세분류,MED,haeseolseo
"꽃, 잎, 과실 등의 모조품 제조",33932,전시용 모형 제조업,세세분류,MED,haeseolseo
끈으로 만든 걸레 제조,13922,어망 및 기타 끈 가공품 제조업,세세분류,MED,haeseolseo
나무 못 제조,16299,그 외 기타 나무제품 제조업,세세분류,MED,haeseolseo
나무 및 고무 신발 제조,15219,기타 신발 제조업,세세분류,MED,haeseolseo
나무 조각판 제조,16102,표면 가공목재 및 특정 목적용 제재목 제조업,세세분류,MED,haeseolseo
나무그릇 제조,16291,목재 도구 및 주방용 나무제품 제조업,세세분류,MED,haeseolseo
나무젓가락 제조,16291,목재 도구 및 주방용 나무제품 제조업,세세분류,MED,haeseolseo
나선형 금속 스프링 제조,25943,금속 스프링 제조업,세세분류,MED,haeseolseo
나일론 및 비닐론 제조,20501,합성섬유 제조업,세세분류,MED,haeseolseo
나전칠기 가구 제조,32029,기타 목재 가구 제조업,세세분류,MED,haeseolseo
나프타 제조,19210,원유 정제처리업,세세분류,MED,haeseolseo
낙농품 가공처리기 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
낙하산 제조,13229,기타 직물제품 제조업,세세분류,MED,haeseolseo
낙화생 재배,01140,기타 작물 재배업,세세분류,MED,haeseolseo
낙화생유 생산,10412,식물성 유지 제조업,세세분류,MED,haeseolseo
낚시 장비 제조,33303,낚시 및 수렵용구 제조업,세세분류,MED,haeseolseo
낚시용 망 제조,33303,낚시 및 수렵용구 제조업,세세분류,MED,haeseolseo
낚시용 보트 제조,31120,오락 및 스포츠용 보트 건조업,세세분류,MED,haeseolseo
날염기 제조,29261,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",세세분류,MED,haeseolseo
남자용 바지 제조,14111,남자용 겉옷 제조업,세세분류,MED,haeseolseo
남자용 코트류 제조,14111,남자용 겉옷 제조업,세세분류,MED,haeseolseo
납땜용 인두와 건 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
납축전지 제조,28209,기타 이차전지 제조업,세세분류,MED,haeseolseo
내발한제 제조,20423,화장품 제조업,세세분류,MED,haeseolseo
내연기관 시험대 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
내장 의자 제조,32019,소파 및 기타 내장 가구 제조업,세세분류,MED,haeseolseo
내장 침대용 금속제 프레임 제조,32091,금속 가구 제조업,세세분류,MED,haeseolseo
내장 침대용 목제 프레임 제조,32029,기타 목재 가구 제조업,세세분류,MED,haeseolseo
내장 침대용 플라스틱제 프레임 제조,32099,그 외 기타 가구 제조업,세세분류,MED,haeseolseo
내화 벽돌 및 타일 제조,23211,정형 내화 요업제품 제조업,세세분류,MED,haeseolseo
내화 피복재 제조,23994,암면 및 유사 제품 제조업,세세분류,MED,haeseolseo
내화물용 조제 배합원료 제조,23212,부정형 내화 요업제품 제조업,세세분류,MED,haeseolseo
냅킨용 원지 제조,17106,위생용 원지 제조업,세세분류,MED,haeseolseo
냉각 단위 제조,29171,산업용 냉장 및 냉동장비 제조업,세세분류,MED,haeseolseo
냉각장치 제조,30399,그 외 자동차용 신품 부품 제조업,세세분류,MED,haeseolseo
"냉간 압연, 압출 및 인발제품 제조",24122,냉간 압연 및 압출 제품 제조업,세세분류,MED,haeseolseo
"냉간 철강 판, 시트, 봉 및 형재 제조",24122,냉간 압연 및 압출 제품 제조업,세세분류,MED,haeseolseo
냉동 갑각류 생산,10213,수산동물 냉동품 제조업,세세분류,MED,haeseolseo
냉동 수산물 생산,10213,수산동물 냉동품 제조업,세세분류,MED,haeseolseo
냉동 어류 생산,10213,수산동물 냉동품 제조업,세세분류,MED,haeseolseo
"냉동 케이크, 파이, 기타 생과자류 제조",10602,빵류 제조업,세세분류,MED,haeseolseo
냉동장비 제조,29171,산업용 냉장 및 냉동장비 제조업,세세분류,MED,haeseolseo
냉장고 제조,29171,산업용 냉장 및 냉동장비 제조업,세세분류,MED,haeseolseo
냉장장비 제조,29171,산업용 냉장 및 냉동장비 제조업,세세분류,MED,haeseolseo
네온류 광고판 제조,28423,전시 및 광고용 조명장치 제조업,세세분류,MED,haeseolseo
네트워크 카드 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
넥타이 제조,14499,그 외 기타 의복 액세서리 제조업,세세분류,MED,haeseolseo
노용 연소기 제조,29150,"산업용 오븐, 노 및 노용 버너 제조업",세세분류,MED,haeseolseo
노출계 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
노트북 PC 제조,26310,컴퓨터 제조업,세세분류,MED,haeseolseo
녹음 및 음성 재생기 제조,265,영상 및 음향 기기 제조업,소분류,MED,haeseolseo
녹음기 제조,26521,"라디오, 녹음 및 재생 기기 제조업",세세분류,MED,haeseolseo
녹차용 작물 재배,01132,음료용 및 향신용 작물 재배업,세세분류,MED,haeseolseo
놀이대 제조,33302,놀이터용 장비 제조업,세세분류,MED,haeseolseo
농산물용 건조기 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
농업용 관배수 기 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
농업용 분무기 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
농업용 살포차 특장 제조,30201,차체 및 특장차 제조업,세세분류,MED,haeseolseo
농업용 컨베이어 장치 제조,29163,컨베이어 장치 제조업,세세분류,MED,haeseolseo
농업용 트랙터 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
농업용 트레일러 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
농축 미네랄 제조,10897,건강 기능식품 제조업,세세분류,MED,haeseolseo
농축유 제조,10421,액상 시유 및 기타 낙농제품 제조업,세세분류,MED,haeseolseo
뇌파계 제조,27112,전기식 진단 및 요법 기기 제조업,세세분류,MED,haeseolseo
누룩 및 종국 제조,10839,기타 식품 첨가물 제조업,세세분류,MED,haeseolseo
는 족답식 연마 휠 제조,25933,비동력식 수공구 제조업,세세분류,MED,haeseolseo
니켈 수소 전지 제조,28209,기타 이차전지 제조업,세세분류,MED,haeseolseo
니켈 카드뮴 전지 제조,28209,기타 이차전지 제조업,세세분류,MED,haeseolseo
니켈 합금철 제조,24113,합금철 제조업,세세분류,MED,haeseolseo
니코틴이 함유된 전자담배 기기용 용액 제조,12000,담배제품 제조업,세세분류,MED,haeseolseo
니트로조 및 니트로염료 제조,20132,"염료, 조제 무기 안료, 유연제 및 기타 착색제 제조업",세세분류,MED,haeseolseo
다겹층지 제조,17105,크라프트지 및 기타 상자용 판지 제조업,세세분류,MED,haeseolseo
다이 및 다이 세트 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
다이 및 펀치 제조,29293,주형 및 금형 제조업,세세분류,MED,haeseolseo
다이 스탬핑기 제조,29224,금속 성형기계 제조업,세세분류,MED,haeseolseo
다이나스어드 제조,23212,부정형 내화 요업제품 제조업,세세분류,MED,haeseolseo
"다이리스터, 다이액과 트라이액 제조",26129,기타 반도체 소자 제조업,세세분류,MED,haeseolseo
다이얼식 자물쇠 제조,25932,일반 철물 제조업,세세분류,MED,haeseolseo
단공 강재 제조,24199,그 외 기타 1차 철강 제조업,세세분류,MED,haeseolseo
단무지 제조,10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
단미사료 제조,10903,단미사료 및 기타 사료 제조업,세세분류,MED,haeseolseo
단세포 미생물 제조,10839,기타 식품 첨가물 제조업,세세분류,MED,haeseolseo
단식 오프셋 인쇄,18113,오프셋 인쇄업,세세분류,MED,haeseolseo
단접 철강관 제조,24132,강관 제조업,세세분류,MED,haeseolseo
"달걀, 크림, 마요네즈 처리 도구 제조",25992,수동식 식품 가공 기기 및 금속 주방용기 제조업,세세분류,MED,haeseolseo
담배 에센스 제조,12000,담배제품 제조업,세세분류,MED,haeseolseo
담배 필터 제조,33992,"라이터, 연소물 및 흡연용품 제조업",세세분류,MED,haeseolseo
당구용구 제조,33409,기타 오락용품 제조업,세세분류,MED,haeseolseo
당나귀 사육,01291,말 및 양 사육업,세세분류,MED,haeseolseo
대두 부산물 등 이용) 제조,16299,그 외 기타 나무제품 제조업,세세분류,MED,haeseolseo
대두유 생산,10412,식물성 유지 제조업,세세분류,MED,haeseolseo
대륙간 탄도 미사일 및 유사 미사일 제조,31311,"유인 항공기, 항공 우주선 및 보조장치 제조업",세세분류,MED,haeseolseo
대물렌즈 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
대용차류 제조,10892,차류 가공업,세세분류,MED,haeseolseo
대중 수송용 자동차 제조,30121,내연기관 승용차 및 기타 여객용 자동차 제조,세세분류,MED,haeseolseo
대중 수송용 전기 자동차 제조,30122,전기 승용차 및 기타 여객용 전기 자동차 제조업,세세분류,MED,haeseolseo
"데릭, 크레인, 스트래들 캐리어 및 크레인이 결합된 작업 트럭 제조",29161,산업용 트럭 및 적재기 제조업,세세분류,MED,haeseolseo
도가니 제조,23211,정형 내화 요업제품 제조업,세세분류,MED,haeseolseo
"도금, 도장 및 피복 철강재 제조",24191,"도금, 착색 및 기타 표면 처리 강재 제조업",세세분류,MED,haeseolseo
도금용 조제품 제조,20499,그 외 기타 분류 안된 화학제품 제조업,세세분류,MED,haeseolseo
도난 경보기 제조,28901,전기 경보 및 신호장치 제조업,세세분류,MED,haeseolseo
도로 경계석 제조,23911,건설용 석제품 제조업,세세분류,MED,haeseolseo
도로 설치용 쓰레기통 제조,25991,금속 캔 및 기타 포장용기 제조업,세세분류,MED,haeseolseo
도로 전기 청소차 제조,30124,전기 화물자동차 및 특수목적용 전기 자동차 제조업,세세분류,MED,haeseolseo
도로 주행용 덤프 트럭 제조,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업,세세분류,MED,haeseolseo
도로 주행용 전기 덤프 트럭 제조,30124,전기 화물자동차 및 특수목적용 전기 자동차 제조업,세세분류,MED,haeseolseo
도로 청소차 제조,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업,세세분류,MED,haeseolseo
도로 표지 금속판 제조,25994,금속 표시판 제조업,세세분류,MED,haeseolseo
도료 용제 제조,20411,일반용 도료 및 관련제품 제조업,세세분류,MED,haeseolseo
